;e_dz;g;e_tz_gas;g_tz_gas;e_tz_solv;g_tz_solv
00001150_Ni_00006;1.1502248585308836;1.2343111274412653;1.551328911769483;1.3259275099726353;0.8355288593713491;0.7643065345278194
00001150_Ni_00010;2.8901831169484287;2.7585316300039753;3.274658169309682;2.8335190116579994;3.590985693101365;3.3040256124030005
00001150_Ni_00012;2.3586825958448867;3.333957814039295;3.0891663699323586;3.7549539174195377;3.6418139601143755;4.461780584554872
00001150_Ni_00015;4.012609305878684;4.42143172558593;4.974895078155361;5.074229827155378;5.429525689270972;5.683039515224306
00001150_Ni_00019;2.0151211609955513;1.987322491394923;2.4236298260042597;2.086343485696402;2.397713684880218;2.214606421525678
00001150_Ni_00020;1.2973130782699513;2.4805449348537683;1.8374104790836543;2.711154664960242;2.2944883770761484;3.3224116399060537
00001150_Ni_00022;3.050323533602007;3.8196501438771517;3.4161615547584483;3.8760004943263637;3.9174161193844785;4.5314341359057115
00001150_Ni_00025;2.94665896924852;3.7707044051980487;3.6929559819686033;4.2075137472109025;4.196908837315955;4.865645679511572
00001150_Ni_00030;4.96046236031046;5.431721972303417;5.304337550001013;5.4661094912867405;5.4834915036974;5.799442521936445
00001150_Ni_00033;2.3707935285211037;3.129389726765063;3.14419895044796;3.59330747798469;3.66434155012324;4.267629154613288
00001150_Ni_00034;6.862255311010512;7.500620694877738;7.779799658110677;8.108677371270673;8.438119843116326;8.92117663322964
00001150_noNi_00000;0.0;0.8534128791855266;0.0;0.5439252084782972;0.2946784471670116;0.9927827325986266
00001150_noNi_00001;1.0449915203993478;1.6942755690027393;1.0550944228907781;1.3948908007869403;0.9172305924016266;1.4112060472511065
00001150_noNi_00002;1.9170414307896866;1.7921670462182662;2.1051060190374518;1.670743963758802;2.158130569225587;1.877947590900255
00001150_noNi_00003;0.29963577191755786;0.4549443656714694;0.43147551156699043;0.27729643461367265;0.0;0.0
00001150_noNi_00004;1.7481158814356093;1.340987737357291;1.7761655548806754;1.0595497400951277;1.9111428419435261;1.3487061041112962
00001150_noNi_00005;2.051328457458682;1.7720867432289642;2.2272821128875506;1.6385527279506036;1.982114162942618;1.5475638549589887
00001150_noNi_00006;1.0451797732470065;1.6955305879395708;1.0529608907124328;1.3938240346977675;0.9150970602232812;1.4101392811619338
00001150_noNi_00007;0.6853030920761841;0.0;0.9947907627834135;0.0;0.875563963499074;0.03495227766897829
00001150_noNi_00008;2.095693376939877;2.3707307776670037;2.068459466024904;2.0340091960448015;2.079691885602286;2.1994206925755013
00001150_noNi_00009;1.4865699344577687;1.1621475383594422;1.8265545653442685;1.1926444985387126;1.3332693710313233;0.8535383811790851
00001150_noNi_00010;1.1502876093849836;1.2349386368383415;1.5508896550773863;1.3260530118235148;0.8354661083745699;0.764808542074016
00001150_noNi_00011;1.4327923728789989;2.097136648724367;1.6027846883222487;1.9576412934603873;1.6278223162047762;2.136857998296233
00001150_noNi_00012;2.044551355085649;1.8247975387185613;2.3015792341477193;1.772337747073402;1.5543409573320215;1.1792785472110223
00001150_noNi_00023;2.448416450042349;2.0274830975162064;2.7633007021922213;2.0328796789588495;2.180720910231231;1.6044789639511767
00001150_noNi_00024;3.0049545988857393;2.734686270204179;3.184171303721585;2.6044153043327953;3.356799158889377;2.931222236453905
00001150_noNi_00027;3.046370223943854;3.758154215829735;3.4216208870551914;3.823917208233843;3.688061408072157;4.244536806204127
00001150_noNi_00029;6.2066961677229635;6.4658575788207;5.992652687639736;5.942326428030243;6.05747441580555;6.161327233149375
00001150_noNi_00030;1.221321681380855;2.1228645370007495;2.157816814527049;2.7498719994397143;2.6989182305758246;3.4451524924418075
00001150_noNi_00032;7.130954866056703;7.435359710019827;7.014740112334902;7.009657285590797;7.570462498933558;7.71955874914277
00001150_noNi_00040;3.8192736381818344;4.586466716135955;3.9624085484054286;4.42011395565232;4.149092615722804;4.7609770999230125
