;e_dz;g;e_tz_gas;g_tz_gas;e_tz_solv;g_tz_solv
00001072_Ni_00010;0.7061364065988001;0.3244223959556474;0.8579936982407556;0.6703056158309868;0.19321016584597006;0.35328783178812745
00001072_Ni_00011;0.19038637327376923;0.18637031261883716;0.13811483433358954;0.3281247019120414;0.1120104403618893;0.6497860562922673
00001072_Ni_00012;0.7061364065988001;0.32191235808198465;0.8579309473866554;0.6677328271032239;0.1937749242462669;0.3513425523147616
00001072_Ni_00013;0.9354283670570213;0.09726396781845079;1.0054584236751407;0.3613199526699542;0.2963727226532604;0.0
00001072_Ni_00014;0.19402592823338397;0.0012550189368313817;0.0006902603938553898;0.0019452793306867714;0.0005020075461967258;0.3495227748349542
00001072_Ni_00016;3.5181318436256865;3.23292878941035;3.581510300007011;3.4903331740250585;3.1340332969597506;3.390621919329724
00001072_Ni_00019;3.5181318436256865;3.2341838083471814;3.5811337943116937;3.4912116872665724;3.134409802655068;3.392253443961873
00001072_noNi_00000;0.19402592823338397;0.0;0.0;0.0;0.0;0.3477657483519261
00001072_noNi_00001;0.0;1.2255259948834456;0.09255764676966331;1.512109569886493;1.1139548110709738;2.8812724825397296
00001072_noNi_00004;0.19038637327376923;0.1813502367288325;0.13648330970144082;0.32147310138988805;0.11031616473296132;0.6430717047733346
00001072_noNi_00005;0.19038637327376923;0.182605255808343;0.13830308718124817;0.32454789794920597;0.1118849385110099;0.6458954976308937
00001072_noNi_00007;0.5997735515239916;0.7749741954195465;0.760478726720546;1.129705298849485;1.083332349040824;1.800324669521689
00001072_noNi_00008;0.6426951992206964;0.8283125003062198;0.8904359378933919;1.2700791672122993;1.0493213357528182;1.7767303134236514
00001072_noNi_00009;0.7767312220452538;0.47690719713735813;0.9413897068999609;0.8355916102254493;0.342055412068066;0.5840230637454804
00001072_noNi_00010;0.5997735515239916;0.7749741954195465;0.7605414775746461;1.1297680497035851;1.0831440961931653;1.8001364166740303
00001072_noNi_00011;0.7668165724014822;0.12048181822117092;0.7762292143563779;0.3239203884094507;0.19333566769684946;0.08879259010184831
00001072_noNi_00014;0.7061364065988001;0.32253986747906077;0.8578681963898761;0.6682975855035208;0.1937749242462669;0.3519700617118377
00001072_noNi_00015;0.00012550199355853238;1.2211334285331963;0.09048686558809715;1.5055207203611187;1.1096249957175037;2.8724245988424513
00001072_noNi_00016;0.7061364065988001;0.3263049244322341;0.8579936982407556;0.6721881443075735;0.19383767524304618;0.3557978696617902
00001072_noNi_00017;0.5998363023780917;0.779994271166872;0.7609807342667426;1.135164631288907;1.0849638735302936;1.806913518904384
00001072_noNi_00018;0.5997735515239916;0.779994271166872;0.7609807342667426;1.1352273821430072;1.0847128698285347;1.8067252660567252
00001072_noNi_00022;0.7668165724014822;0.12236434655507841;0.7769822257470126;0.32655592813399287;0.19358667139860825;0.09092612213751461
00001072_noNi_00023;3.63390734079807;2.9304692249205915;3.720378145731235;3.21096595808714;3.2876476152274132;3.1260011759352446
00001072_noNi_00024;0.7767312220452538;0.476279687740282;0.9420799672938164;0.8356543612222286;0.34186715922040734;0.5832073015007456
00001072_noNi_00025;0.776793973042033;0.4706321024532012;0.9406994465061056;0.8285635041506577;0.33973362704206195;0.5753634330385402
00001072_noNi_00026;0.19402592823338397;0.0012550189368313817;0.000753011390634656;0.002008030327466038;0.0005647585429759919;0.34958552583173347
00001072_noNi_00027;0.19396317723660472;0.004392566207570269;0.0006275093970761236;0.005082826601425659;0.000188252847658664;0.35240931840393425
00001072_noNi_00028;0.19038637327376923;0.1813502367288325;0.13711081909851694;0.32210061078696417;0.11081817242183718;0.6435737124622105
