;e_dz;g;e_tz_gas;g_tz_gas;e_tz_solv;g_tz_solv
00001674_Ni_00004;3.3201526057341497;3.2021808255293207;3.6884379136247953;3.5704661334199663;3.458957700461595;3.3409859202567658
00001674_Ni_00008;4.151979159149104;4.508655542052409;4.4288363373560395;4.7855127202593435;4.257965508671275;4.614641891574579
00001674_Ni_00010;5.926889695092949;6.237444131889351;5.909068426132872;6.219622862929274;6.146518009466478;6.45707244626288
00001674_Ni_00011;4.430781616686726;4.312245077938921;4.765369666130583;4.646833127382778;4.65699878058563;4.538462241837824
00001674_Ni_00014;6.977968057328795;6.83483314724788;7.01367334610305;6.870538436022135;7.015618625433737;6.872483715352821
00001674_Ni_00015;6.160887976457278;5.782499766075203;6.092112938490632;5.713724728108557;6.054838875938329;5.676450665556253
00001674_Ni_00016;5.96315974241018;6.036641101425613;5.97765521110918;6.051136570124614;6.018192322925781;6.091673681941215
00001674_Ni_00017;5.130831181449028;4.9284593774926;5.325735622781247;5.123363818824819;5.326927890721299;5.124556086764871
00001674_noNi_00000;2.9697513176576815;2.749746497588835;2.9322262514036193;2.712221431334773;3.4419521938889313;3.221947373820085
00001674_noNi_00001;1.9631006258998096;1.562498580350086;2.051955966855758;1.6513539213060344;2.3171414687932135;1.9165394232434898
00001674_noNi_00002;1.3908747401320083;1.595129072850381;1.3222879551556996;1.5265422878740724;1.548818873753141;1.753073206471514
00001674_noNi_00003;2.3129371554333016;1.9396317717953306;2.4145936896020017;2.0412883059640308;2.659636137553376;2.2863307539154047
00001674_noNi_00004;0.0;0.0;0.0;0.0;0.0;0.0
00001674_noNi_00005;1.263427566832825;0.7498738166829189;1.470066435288623;0.9565126851387168;1.457516245920309;0.943962495770403
00001674_noNi_00006;2.692266630053671;3.1331547837182363;2.7619829321159317;3.202871085780497;2.946784471099399;3.387672624763965
00001674_noNi_00007;1.418296904037319;1.660390057708292;1.5581060139998366;1.8001991676708096;1.5060854789040947;1.7481786325750677
00001674_noNi_00008;1.418296904037319;1.6528599440873037;1.5563489875168084;1.7909120275667931;1.5044539542719462;1.7390169943219307
00001674_noNi_00010;8.27910894326334;7.915404454570603;8.203431301215462;7.8397268125227235;8.726397693605621;8.362693204912883
00001674_noNi_00017;4.430718865689947;4.312872587335997;4.765495167981462;4.647648889627512;4.657061531582409;4.539215253228459
00001674_noNi_00018;7.278231338643429;7.978782911094607;7.1846069257845935;7.8851584982357705;7.661953379614048;8.362504952065226
00001674_noNi_00021;9.355036680534056;8.141307863770969;9.326359497834593;8.112630681071506;9.819581941293437;8.60585312453035
00001674_noNi_00023;6.951989165207975;6.666033099887361;6.8057167078563205;6.519760642535707;6.97734054778904;6.691384482468427
00001674_noNi_00029;7.136539700347004;6.6497178537085535;7.057975514730145;6.571153668091694;7.245726348136692;6.758904501498242
