;e_dz;g;e_tz_gas;g_tz_gas;e_tz_solv;g_tz_solv
00000315_Ni_00003;0.3471382388121708;1.8386027471663857;0.23544155314881957;1.7267178086553758;0.7286639966076648;2.2195009954221243
00000315_Ni_00004;5.944020703659171;5.885411319180734;5.827115689400835;5.76831805207474;5.779424969658564;5.720188075640372
00000315_Ni_00008;0.0;0.0;0.000188252847658664;0.0;0.0006275095397552581;0.0
00000315_noNi_00000;0.3471382388121708;1.8379752377693095;0.23462579076140566;1.7252745368708857;0.72784823436293;2.2180577237803134
00000315_noNi_00001;0.0002510037017587956;0.0012550190795105162;0.0;0.0008157625300930567;0.0;0.00037650583799646255
00000315_noNi_00002;0.3471382388121708;1.839230256706141;0.23556705499969896;1.7274708200460105;0.7287267476044441;2.220191255958659
00000315_noNi_00003;1.812623855045565;3.49146269111101;1.65637399705336;3.335024580271147;2.44239235920263;4.12060368572832
00000315_noNi_00004;0.0;0.010040151637330188;0.0008785132415140537;0.010730412031185578;0.0006275095397552581;0.010040151637330188
00000315_noNi_00005;0.3495855256890543;1.8931960709898903;0.20870964978004322;1.7521319422332207;0.7047558858110893;2.24773892157217
00000315_noNi_00006;2.3091720986228075;3.8993438465799635;2.3596866109372803;3.949670106046777;2.741149617878674;4.330693856296074
00000315_noNi_00009;2.3879245370873257;2.9888276056972694;2.2321139357872175;2.8328287515495023;2.0380252566997332;2.6383008157699215
00000315_noNi_00017;5.792226162871316;6.9277045488587605;5.726463170324529;6.861753303464315;6.2442212341197045;7.379072110567394
00000315_noNi_00020;7.001436911433274;8.683476045908916;6.8131840704805295;8.495034952108513;7.6778293692434385;9.359240994179325
00000315_noNi_00022;5.6450124411386895;5.08972931123213;5.587909079441522;5.032437696687304;5.681972748992455;5.12606210954614
00000315_noNi_00027;7.165530637887684;8.30948040187709;7.050759155807694;8.194520666949442;7.451172948652438;8.594495203102088
00000315_noNi_00030;5.762042957247904;5.285512265948542;5.523275603980687;5.046556659833667;5.578433686489847;5.10127548565073
00000315_noNi_00032;2.3879245370873257;2.988200096157514;2.2317374300919;2.8318247363144295;2.037586000150316;2.6372340496807487
