;e_dz;g;e_tz_gas;g_tz_gas;e_tz_solv;g_tz_solv
00001732_Ni_00013;1.462348068819976;1.7758518001821375;1.5492581304452377;1.862761861807399;1.831260886250377;2.1447646176125383
00001732_Ni_00018;1.6379879695503068;1.6710577186000193;1.857930038765053;1.8909997878147655;1.6908870178875626;1.723956766937275
00001732_Ni_00019;1.6379252185535274;1.6691751902661116;1.8601263219401778;1.891376293652762;1.692455791522932;1.7237057632355162
00001732_Ni_00020;5.175760859473199;4.888298771371317;5.099141953187026;4.811679865085144;4.766938439765952;4.47947635166407
00001732_Ni_00021;1.462348068819976;1.7758518001821375;1.5490071266007996;1.8625108579629612;1.8308843805550596;2.144388111917221
00001732_noNi_00000;0.0;0.0;0.0;0.0;0.0;0.0
00001732_noNi_00001;0.5018820740231064;0.5358930874537914;0.4513048108545338;0.48531582428521874;0.31952782205920127;0.35353883548988624
00001732_noNi_00002;1.2870219229308624;1.2989446029021001;1.433733636974613;1.4456563169458507;1.2790525527604568;1.2909752327316943
00001732_noNi_00003;2.1883765257030987;2.2916645845039474;2.286895512458381;2.3901835712592296;2.3046540304216787;2.407942089222528
00001732_noNi_00004;1.1650340819284222;1.1533624059443017;1.3697904220503128;1.358118746066192;1.3657743613953806;1.3541026854112599
00001732_noNi_00005;2.7601631546361243;2.4322267057144207;2.749181739045859;2.4212452901241552;2.542542870590061;2.2146064216683574
00001732_noNi_00006;2.7601631546361243;2.4341092341910073;2.749558244598497;2.42350432415338;2.542856625288599;2.216802704843482
00001732_noNi_00007;1.462348068819976;1.7758518001821375;1.5486306209054823;1.862134352267644;1.8307588787041802;2.144262610066342
00001732_noNi_00008;1.9100760757116744;1.5800688454657252;2.0897947879510372;1.7597875577050883;2.062811880737823;1.732804650491874
00001732_noNi_00009;1.71598739662419;1.5486933720449407;1.9330429222699566;1.7657488976907072;1.7195642005870257;1.5522701760077762
00001732_noNi_00010;1.462348068819976;1.7764793095792135;1.549069877597579;1.8632011183568165;1.8309471315518389;2.1450783723110765
00001732_noNi_00011;1.6379879695503068;1.6698026996631878;1.860189072794278;1.892003802907159;1.6926440443705906;1.7244587744834718
00001732_noNi_00012;1.8483291438198195;1.9823024157902767;2.006273277440952;2.1402465494114096;2.12719435235422;2.261167624324677
00001732_noNi_00013;1.4624108198167554;1.7783618380558002;1.5550939685799772;1.871044986819022;1.8370967243851164;2.153047742624161
00001732_noNi_00014;1.8483291438198195;1.9823024157902767;2.0065242812853903;2.1404975532558477;2.12719435235422;2.261167624324677
00001732_noNi_00015;3.4071254182135116;3.4400069145582446;3.6566231835119143;3.6895046798566473;3.649406824732143;3.682288321076876
00001732_noNi_00016;2.7601631546361243;2.4328542152541757;2.750123003141473;2.4228140637595246;2.5432958819806957;2.215986942598747
00001732_noNi_00018;5.1756981084764195;4.887043752434485;5.09857719464405;4.809922838602116;4.766059926524438;4.477405570482504
