;e_dz;g;e_tz_gas;g_tz_gas;e_tz_solv;g_tz_solv
00000717_Ni_00003;1.2695144086693233;1.62148447052384;1.3384776994836283;1.690447761338145;1.612636586826562;1.9646066486810787
00000717_Ni_00023;3.0872210904589927;3.9821750966961926;3.276226942802372;4.171180949039572;3.7442862565278103;4.639240262765011
00000717_Ni_00025;8.041220103237638;7.7183664810600385;8.075168365528864;7.752314743351265;6.925571016537736;6.602717394360138
00000717_Ni_00026;2.200550209376095;3.4920902006507655;2.227156610893992;3.5186966021686623;3.3027078424693896;4.59424783374406
00000717_Ni_00031;1.613703353058414;2.414028931201705;1.786393959080306;2.586719537223597;2.005959522742414;2.8062851008857055
00000717_Ni_00033;2.141250564503803;3.4080039315977046;2.2479271742771494;3.5146805413710513;3.391751436272997;4.658504803366899
00000717_Ni_00037;6.22903550488417;5.542791148569692;6.1807172756021425;5.494472919287666;6.212343753010044;5.5260993966955665
00000717_Ni_00040;5.347635703250356;5.5396536011562745;5.45889313236429;5.6509110302702075;5.494096413592348;5.686114311498266
00000717_Ni_00045;6.934418900092335;7.089601992138046;6.991585012786282;7.146768104831993;7.316321163440467;7.471504255486178
00000717_Ni_00046;3.807162705362938;3.8648308257457606;4.067955641092824;4.125623761475646;4.043106266057954;4.100774386440777
00000717_Ni_00047;3.2744071653225646;3.300699812284603;3.3696003519594493;3.3958929989214877;3.6017788558439716;3.6280715028060095
00000717_noNi_00000;1.1320898348722683;1.461469555721141;1.115398082855464;1.4447778037043366;1.3668411274845533;1.696220848333426
00000717_noNi_00001;0.0;0.0;0.0;0.0;0.0;0.0
00000717_noNi_00002;2.3904345749609885;2.685740531667755;2.3964586659433866;2.6917646226501533;2.88710832053179;3.1824142772385566
00000717_noNi_00003;3.2754739315544166;2.9361168102076722;3.3607524684048506;3.021395347058106;3.586342122906678;3.246985001559933
00000717_noNi_00004;2.2172419612502203;2.1523574820876266;2.3179572311806274;2.2530727520180336;2.4465339215657624;2.3816494424031687
00000717_noNi_00005;1.2695771596661025;1.62148447052384;1.3386032013345077;1.6905105121922452;1.6128248396742206;1.9647321505319582
00000717_noNi_00006;3.2744071653225646;3.3050923784921733;3.3698513558038874;3.4005365689734957;3.6020298596884097;3.632715072858018
00000717_noNi_00007;3.602280863390168;3.825925238703988;3.389178647402555;3.6128230227163742;3.6441357451403795;3.8677801204541993
00000717_noNi_00008;3.2744699163193443;3.308229925905591;3.3699141066579874;3.4036741162442343;3.602280863390168;3.6360408729764155
00000717_noNi_00009;2.166978452780186;2.021835512371805;2.224395569175891;2.0792526287675104;2.1019057206272542;1.9567627802188734
00000717_noNi_00010;1.6138916059060726;2.4108913837882873;1.785515445838792;2.5825152237210065;2.0052065113517794;2.802206289233994
00000717_noNi_00011;4.239704983019101;4.371858477509751;4.297937861802221;4.430091356292871;4.577618832581356;4.709772327072006
00000717_noNi_00012;2.667982013561778;2.8589331453785234;2.501378249233705;2.6923293810504503;2.4135896743669294;2.6045408061836746
00000717_noNi_00013;2.141313315357903;3.406121403263797;2.246295649645001;3.511103737550895;3.3897434059455307;4.654551493851425
00000717_noNi_00014;3.2122209768812926;3.1369198405287304;3.150285792141779;3.0749846557892173;2.9937849303051363;2.9184837939525745
00000717_noNi_00015;3.2233906454618957;3.9495446041958977;3.476841720418451;4.202995679152453;4.181032847543885;4.907186806277887
00000717_noNi_00016;2.529114167837554;2.6593851338516172;2.5741693477126044;2.7044403137266677;2.5788129179072916;2.709083883921355
00000717_noNi_00017;2.166978452780186;2.0224630219115602;2.2247093238744293;2.0801938930058035;2.1022822263225716;1.957766795453946
00000717_noNi_00018;2.166978452780186;2.021835512371805;2.224081814477353;2.0789388740689723;2.101780218776375;1.956637278367994
00000717_noNi_00021;4.785449969119885;5.122987313129501;5.071782540278495;5.409319884288111;5.422372081202622;5.759909425212237
00000717_noNi_00023;4.380329855369033;5.419171782935103;4.544486332677543;5.583328260243613;5.344560906833717;6.383402834399788
00000717_noNi_00024;3.0872210904589927;3.980292568219606;3.2717088746012433;4.1647803523618565;3.7397054373299023;4.632776915090516
00000717_noNi_00025;3.908693737680759;3.519700617261056;3.895892544468007;3.5068994240483042;3.653485636241175;3.2644925158214724
00000717_noNi_00027;4.123490229297301;4.378133572193908;4.258655769065131;4.5132991119617385;4.427518567422428;4.682161910319036
00000717_noNi_00040;3.8581792253662863;6.04291619610977;4.069524414728193;6.254261385471676;5.350082990269919;7.534819961013403
00000717_noNi_00041;5.6176530282301576;6.671053175634687;5.779048463963246;6.832448611367776;6.207260926265939;7.260661073670469
00000717_noNi_00044;6.303646380842876;7.827553128849727;6.4920247237891795;8.01593147179603;7.495286864289195;9.019193612296046
00000717_noNi_00047;5.347510201399476;5.53149597813821;5.455379079255555;5.6393648559942875;5.490394107635954;5.674379884374686
