;e_dz;g;e_tz_gas;g_tz_gas;e_tz_solv;g_tz_solv
00000700_Ni_00031;3.525787459097554;2.462974669738129;3.1199770848101673;2.0571642954507423;2.248805687661343;1.1859928983019175
00000700_Ni_00037;3.525787459097554;2.4617196508012977;3.1197888319625084;2.055721023666252;2.2481154272674875;1.1840476189712308
00000700_Ni_00041;1.2296048063924778;1.4169163832496083;1.0672053555669954;1.2545169324241259;0.9957320270217068;1.1830436038788372
00000700_Ni_00067;4.928020120657824;4.645452606452388;4.345816834392151;4.063249320186715;3.509158458220208;3.226590944014772
00000700_Ni_00079;2.499056464207701;2.049445928982095;2.3069130644509035;1.8573025292252978;2.0960698827778734;1.6464593475522675
00000700_Ni_00082;2.6047918098854335;3.487070124760761;2.229101890224679;3.1113802051000063;2.2281606261290645;3.110438941004392
00000700_Ni_00090;1.3114947922704139;1.9295916201580003;0.6533001091156444;1.2713969370032308;1.0182596170305716;1.636356444918158
00000700_Ni_00091;3.2027455839296177;3.1331547837182363;2.8962072077881476;2.8266164075767666;2.750311256131811;2.68072045592043
00000700_noNi_00000;2.4571388316033893;2.563376184969998;2.1869960047727086;2.293233358139317;2.1019684717667126;2.208205825133321
00000700_noNi_00002;2.711468419801459;1.9760273209634407;2.4925931166758852;1.757152017837867;1.8961453655556497;1.1607042667176313
00000700_noNi_00003;5.068205736315659;3.7575267062899798;4.301953922457153;2.991274892431474;3.0453034579973606;1.7346244279716814
00000700_noNi_00005;2.3007634717603054;1.797814631505347;2.082892183727125;1.5799433434721668;1.8253622974042165;1.3224134571492583
00000700_noNi_00006;2.185991989680315;3.1425674256731324;1.9753370605695852;2.9319124965624024;2.0171919423197964;2.9737673783126137
00000700_noNi_00008;1.8858542102165607;2.1874980124615844;1.7567755121425497;2.0584193143875735;1.9007261847535577;2.2023699869985816
00000700_noNi_00011;0.8526598677948919;1.0975140630412865;0.6582574340088697;0.9031116292552642;0.5903609094264166;0.8352151046728111
00000700_noNi_00014;1.5051442146658014;1.836720218689799;1.5779353131447007;1.9095113171686984;1.4998731352167172;1.8314491392407146
00000700_noNi_00015;0.6024090911058546;1.2631765631310663;0.9398836841186916;1.6006511561439034;1.233871870891848;1.8946393429170596
00000700_noNi_00021;3.5710936428170426;3.2542641113364836;3.1301427381556977;2.8133132066751387;2.956385366044633;2.639555834564074
00000700_noNi_00026;4.23123360515982;3.310739963636575;3.9306565690039683;3.0101629274807236;3.382840801864298;2.4623471603410527
00000700_noNi_00028;0.19823024159329558;0.952559375480564;0.16465848485470722;0.9189876187419757;0.6243719227144224;1.3787010566016908
00000700_noNi_00029;2.2200657538224213;2.7710818195149685;2.052834480097272;2.603850545789819;2.1972244092576974;2.748240474950245
00000700_noNi_00032;2.2200657538224213;2.759786649083486;2.05314823479581;2.592869130056875;2.1964713978670627;2.7361922931281275
00000700_noNi_00036;2.0436100908473556;2.7133509482780456;1.812059096502589;2.4817999539332787;2.122048774756015;2.791789632186705
00000700_noNi_00037;4.23123360515982;3.309484944699743;3.930844821851627;3.009096161391551;3.3834055604072737;2.4616568999471973
00000700_noNi_00041;2.6429443856792507;2.6681702664094367;2.192267084364472;2.2174929650946584;2.4622844093442735;2.48751029007446
00000700_noNi_00042;3.296495498639333;2.8363428043728796;3.0476252428806854;2.587472548614232;2.5763656310304084;2.1162129367639544
00000700_noNi_00046;1.2296048063924778;1.4150338547730217;1.0660758384810436;1.2515048868615872;0.9947280119293134;1.1801570603098572
00000700_noNi_00047;0.0;0.0;0.0;0.0;0.0;0.0
00000700_noNi_00051;0.6024090911058546;1.2587839967808168;0.9348636083713662;1.5912385140463283;1.2291027989889602;1.8854777046639224
00000700_noNi_00054;3.296495498639333;2.8325777475623855;3.047185986188589;2.583268235111641;2.5761773781827495;2.112259627105802
00000700_noNi_00059;3.3746831787035543;2.9486669995759858;3.10366183848868;2.677645659361112;2.855921099958664;2.4299049208310954
00000700_noNi_00061;5.576802161715019;6.036641101425613;5.651664041518163;6.111502981228758;4.931847928607777;5.391686868318371
00000700_noNi_00064;3.3746831787035543;2.948039490036231;3.103473585783701;2.6768298971163773;2.855732847111005;2.4290891584436816
00000700_noNi_00072;1.4309098444024122;1.6064242431391844;1.1565627040691406;1.3320771028059128;0.7657498063123094;0.9412642050490816
00000700_noNi_00087;4.399155139421503;4.207450996356803;4.000184618361249;3.8084804752965487;3.074043391693603;2.8823392486289023
00000700_noNi_00088;4.398778633726186;4.221256204661948;4.0002473693580285;3.8227249402937904;3.0725373689123336;2.8950149398480955
00000700_noNi_00104;2.6289509245264466;2.677582908507012;2.07197351899096;2.1206055029715247;2.081448912085314;2.1300808960658792
