;e_dz;g;e_tz_gas;g_tz_gas;e_tz_solv;g_tz_solv
00001198_Ni_00004;3.2050046181015217;3.8221601817508146;3.8310080653054137;4.448163628954706;4.048628349494156;4.665783913143449
00001198_Ni_00006;6.006206892100443;5.848388260330189;6.004010608925318;5.846191977155065;5.939753639159801;5.7819350073895475
00001198_noNi_00000;1.2097755072476137;1.7764793095792135;1.2002373632991594;1.7669411656307592;1.3278727894460012;1.8945765917776012
00001198_noNi_00001;0.0;0.0;0.0;0.0;0.0;0.0
00001198_noNi_00002;1.580570853011922;2.5596111281595038;2.0145564024525755;2.993596677600157;1.7758518000394583;2.75489207518704
00001198_noNi_00003;1.5436732961549362;2.013050379813985;1.7038137129511937;2.1731907966102426;1.8519686987794342;2.3213457824384833
00001198_noNi_00005;6.465041816575965;7.811865392067996;6.743405017421489;8.09022859291352;6.607360964269466;7.9541845397614965
00001198_noNi_00006;3.97684126610765;5.06086387554233;4.206070475426412;5.290093084861092;4.67726733642259;5.7612899458572695
00001198_noNi_00007;6.465041816575965;7.812492901465072;6.742463753183197;8.089914838072303;6.60673345487239;7.9541845397614965
00001198_noNi_00009;6.92783005070964;6.948412361245139;6.917852650069089;6.938434960604588;7.066886149138844;7.0874684596743425
00001198_noNi_00010;5.9651677727376455;6.665405590347606;6.520513653640984;7.220751471250944;6.220375874177229;6.92061369178719
