;e_dz;g;e_tz_gas;g_tz_gas;e_tz_solv;g_tz_solv
00001162_Ni_00010;1.3700414257520714;0.7787392522300407;1.4027346692491458;0.7761664635022778;1.3519064022361353;0.6949039871640968
00001162_Ni_00017;3.6041006408699756;4.039905967790436;4.059798018074759;4.460337312770382;4.818896224007594;5.189001309378047
00001162_Ni_00018;3.677079992196534;4.795427369760436;3.925385489554884;5.008466834893949;4.746544382078112;5.799191518092007
00001162_Ni_00022;1.413402330140873;0.8885534094168053;1.3462588169490546;0.7861438640001496;1.6863061986896544;1.095757036415579
00001162_noNi_00000;0.0;0.12738442230240393;0.0;0.09211839007756673;0.0;0.061684180752396366
00001162_noNi_00001;0.5456822351040045;0.21523574816595895;0.5397836459724857;0.174071126809603;0.7306720269351308;0.33452529844707773
00001162_noNi_00002;0.6778357294519751;0.0;0.7131017616768124;0.0;0.7435359710019828;0.0
00001162_noNi_00003;0.6381143800227884;0.8427452181511202;0.5003133003877369;0.6696781062912316;0.5727906443107773;0.7117212408891016
00001162_noNi_00004;0.6381771308768885;0.8446277466277069;0.5005643042321748;0.671748887758156;0.5735436555587328;0.7142940297595436
00001162_noNi_00005;1.3700414257520714;0.776856723753454;1.4019816578585111;0.7735309236350565;1.350965137997842;0.692080194449217
00001162_noNi_00006;1.4321648633392436;1.3359676616099654;1.4764042809695592;1.344941047015444;1.723956766937275;1.5620593236579894
00001162_noNi_00007;1.4135278319917524;0.8816508053355723;1.3456313074092991;0.7784882485282819;1.6841099156572088;1.0865326474510213
00001162_noNi_00008;1.2794918093098742;1.65788001969195;1.2217609380729515;1.5648831162301902;1.6672926617895252;1.9799806306215935
00001162_noNi_00009;1.320970185222089;1.8586830501556877;1.3894942193442974;1.8919410520530588;1.7667529127831005;2.238765536166692
00001162_noNi_00010;1.719375947739367;1.291414489281112;1.6974758672702575;1.2342483765871652;1.8681584431073628;1.3744967430991002
00001162_noNi_00011;1.719375947739367;1.288904451407449;1.697601369121137;1.2318638405643818;1.8685349488026801;1.3723632109207546
00001162_noNi_00012;2.0682084620377865;2.0406607964242753;2.1637781543699885;2.1009644565316403;2.25351200871013;2.1602641015466113
00001162_noNi_00013;2.988451099859273;3.8579282215218487;3.3109909674810125;4.145202056918751;3.9235029612209766;4.727279841333545
00001162_noNi_00014;1.6407490111257284;1.3861684192258998;1.6081185187681124;1.3182718946434469;1.7480531305815092;1.4277722971316733
00001162_noNi_00015;1.4860679267688928;1.6302696030816597;1.4316001047962676;1.5405357488841973;1.498994621975203;1.5774960567379623
00001162_noNi_00021;3.864642572755423;3.976527511409112;4.11200680587548;4.188625712304332;4.470377464265034;4.516562161368714
00001162_noNi_00022;3.1139529938277692;3.8679683730164998;3.3696631029562285;4.0884124499201215;3.8748082263863117;4.563123364025034
00001162_noNi_00023;3.8635758066662502;3.975900001869357;4.1181563987087575;4.195214561687027;4.477593823187483;4.524217776840582
00001162_noNi_00024;4.032375854169448;4.927831867810165;4.2974986052528035;5.157688586668684;4.8016397134478135;5.6313954855385235
00001162_noNi_00037;2.7897188507197805;3.8598107499984353;3.413651516742106;4.4484773837959235;4.273527743602128;5.277919401330775
00001162_noNi_00040;4.942829344198042;4.187370693224821;5.282123714548007;4.49139903134995;5.183416475087745;4.362257582564517
00001162_noNi_00047;3.6041006408699756;4.046181062474593;4.061680546408667;4.4684949357884465;4.8213435108844775;5.197723690939087
00001162_noNi_00050;7.577929861557767;7.104662219237344;7.420675988330489;6.912142313785229;8.147206452759809;7.608238568889378
00001162_noNi_00052;4.729978131912187;4.678083098810004;5.020452265576608;4.933291200249587;4.920552758033615;4.802957483381424
