;e_dz;g;e_tz_gas;g_tz_gas;e_tz_solv;g_tz_solv
00000189_Ni_00020;1.6435728036979291;1.1797178036177607;1.5673304032497528;1.1034754031695844;1.6069262508280602;1.1430712507478917
00000189_Ni_00023;2.635037766362945;4.144072539975478;2.6468349444833033;4.155869718095837;3.122989130372706;4.632023903985239
00000189_Ni_00025;2.235502486759715;2.4937226337618372;2.208268575844742;2.466488722846864;2.152043727389089;2.410263874391211
00000189_Ni_00043;2.3979019375851975;3.11809455647626;2.297814177194546;3.0180067960856083;2.51650122761514;3.2366938465062023
00000189_Ni_00047;3.8318238275501484;5.234683998792852;3.9214949308935108;5.324355102136215;4.268507667854802;5.671367839097506
00000189_Ni_00049;2.235502486759715;2.489330067554267;2.2087078325368386;2.462535413331391;2.152420233084406;2.406247813878958
00000189_Ni_00053;3.8338946087317143;5.012545646402981;3.7377601579992157;4.916411195670483;3.9518663892219017;5.130517426893169
00000189_Ni_00055;3.90706221304861;5.889176375991228;4.099644869354825;6.081759032297443;4.346758098773123;6.328872261715741
00000189_Ni_00057;7.667600964758449;7.8476334318390295;7.8875430341158745;8.067575501196455;8.06550471987221;8.24553718695279
00000189_Ni_00066;3.2201903471943774;4.4691224453282015;3.2399568954851414;4.488888993618966;3.252695337843793;4.501627435977618
00000189_Ni_00086;3.5362041162875224;5.545928695840431;3.6665378331556857;5.676262412708594;4.149029864726025;6.158754444278933
00000189_Ni_00090;7.313685623715925;7.246479359527327;7.4922120680152355;7.425005803826638;7.3606860830643415;7.293479818875744
00000189_noNi_00000;0.779429512623896;1.1652850857728603;0.744163480541738;1.130019053690702;0.9127125242004979;1.298568097349462
00000189_noNi_00001;0.0;0.0;0.0;0.0;0.0;0.0
00000189_noNi_00002;0.2643697396927206;0.5258529358164612;0.3411141479724518;0.6025973440961924;0.38924412426414096;0.6507273203878815
00000189_noNi_00009;1.463477585905928;2.0958816297875353;1.4642305972965626;2.09663464117817;1.5406612507350765;2.173065294616684
00000189_noNi_00013;1.870166473434829;2.6694252853462683;1.9490444138929055;2.748303225804345;2.154114508713334;2.9533733206247734
00000189_noNi_00017;1.558796274393692;2.230168656456531;1.6661631447035732;2.3375355267664117;1.8997849205152644;2.571157302578103
00000189_noNi_00025;1.0404107012014399;1.3842858908919924;1.153487907795181;1.4973630974857335;1.114268565912191;1.4581437556027435
00000189_noNi_00030;2.8235416111601275;3.513425522576899;2.6559965827364405;3.345880494153212;2.9189858016414503;3.6088697130582217
00000189_noNi_00031;1.8870464781566127;2.498742709509163;1.8970238787971638;2.5087201101497136;1.9789138646750999;2.59061009602765
00000189_noNi_00033;2.3016419850018193;2.257151563669745;2.252570744471837;2.2080803231397623;2.2275958675860887;2.1831054462540145
00000189_noNi_00034;0.9422054691446957;1.1313995744784129;1.0621225289655698;1.251316634299287;1.0776847637537432;1.2668788690874602
00000189_noNi_00035;2.0601135900165013;2.4736423307725355;2.112761634509319;2.5262903752653534;2.031561909167918;2.4450906499239515
00000189_noNi_00038;2.944148931232178;4.538148486996607;2.947851237188572;4.541850792953001;3.3753106882433093;4.969310244007739
00000189_noNi_00041;3.065760266539301;3.4594597081504705;2.955506852803119;3.349206294414288;3.0707803424293054;3.464479784040475
00000189_noNi_00050;2.469500768124045;2.9241941302364345;2.4776583914274672;2.932351753539857;2.5509514974525636;3.005644859564953
00000189_noNi_00052;1.929152363608583;2.5916141111200433;1.7981283863465642;2.460590133858025;2.0111051004832983;2.673566847994759
00000189_noNi_00057;1.4479153509750755;2.6694252853462683;1.5604277990258406;2.7819377333970334;1.870229224431608;3.0917391588028007
00000189_noNi_00083;4.344812819299758;5.390306347387981;4.477468321336604;5.522961849424828;5.024531077228319;6.070024605316543
00000189_noNi_00098;3.1751979181734273;4.1842331459540825;3.0943119475305636;4.103347175311219;3.016814528002877;4.025849755783533
00000189_noNi_00100;4.90674754958579;5.5271034117879605;5.038022530834927;5.658378393037096;5.508152625741931;6.1285084879441
00000189_noNi_00102;5.714226735654753;7.409631821743444;5.894196451738554;7.589601537827245;6.602089884820382;8.297494970909073
00000189_noNi_00108;5.904738610779401;7.317387929672319;5.951237062581621;7.363886381474538;6.607800220961563;8.02044953985448
00000189_noNi_00113;3.5273562327329238;4.704438496626142;3.5429812185178764;4.720063482411095;3.643382733749745;4.820464997642963
00000189_noNi_00116;5.427705911648485;6.6089297380475145;5.65498984177924;6.83621366817827;6.070652114713619;7.251875941112649
00000189_noNi_00118;4.0991428618086285;4.3800161006704945;4.370038700029943;4.65091193889181;4.445528089230164;4.726401328092031
00000189_noNi_00133;6.140305665779101;5.8251704100701485;6.128822242499959;5.813686986791008;6.142941205646322;5.82780594993737
00000189_noNi_00139;8.209329890204302;9.780990108950203;8.181280217044593;9.752940435790496;8.788395629341915;10.360055848087816
