;e_dz;g;e_tz_gas;g_tz_gas;e_tz_solv;g_tz_solv
00001159_Ni_00002;0.0;0.0;0.0;0.0;0.0;0.0
00001159_Ni_00010;2.5776834008213396;1.9107663362482088;2.677269153808474;2.010352089235343;2.742090882116967;2.075173817543836
00001159_Ni_00011;5.192640864194983;3.846633051090366;5.580818222369951;4.234810409265334;6.037645116660686;4.691637303556069
00001159_Ni_00012;4.311052809856189;5.039528553616196;4.711905859250351;5.440381603010358;5.292916877575972;6.021392621335978
00001159_Ni_00016;4.056785972654899;5.309985135145415;4.232990631785527;5.486189794276042;5.0178794768488455;6.27107863933936
00001159_Ni_00026;4.750309438888606;4.331070361991392;5.175321602923781;4.7560825260265664;5.419171782935103;4.999932706037889
00001159_noNi_00000;1.649534143826227;1.5079052565265814;1.739644503719007;1.598015616419361;2.0720990209845183;1.9304701336848726
00001159_noNi_00001;3.003260323399491;2.8394803517862974;3.1411241540313215;2.977344182418128;3.712910783107026;3.549130811493833
00001159_noNi_00002;2.4164762180785884;1.4464093283364854;2.568082506018785;1.598015616276682;2.7536370562502084;1.7835701665081052
00001159_noNi_00003;1.887109229153392;1.8436228229137113;2.0596115824703047;2.016125176230624;2.3125606498806635;2.2690742436409828
00001159_noNi_00004;1.7833191628063465;1.9647321506746374;1.7425937981420871;1.924006786010378;1.8256133011059752;2.007026288974266
00001159_noNi_00005;1.4383772071693004;1.6547424724212112;1.3940750385422056;1.6104403037941164;1.5626868331977446;1.7790520984496556
00001159_noNi_00006;2.8864180601379346;3.7826270851692865;2.961468192788738;3.8576772178200898;3.822599438442911;4.7188084634742635
00001159_noNi_00007;2.002257216928699;1.8392302565634617;1.9816121553964212;1.8185851950311838;2.2518804840779816;2.0888535237127437
00001159_noNi_00008;1.4383772071693004;1.6541149630241352;1.394200540535764;1.6099382963905988;1.562812335048624;1.7785500909034588
00001159_noNi_00009;2.577495147973681;1.7852644421370332;2.661016658483766;1.868785952647118;2.7245206168586487;1.9322899110220009
00001159_noNi_00010;2.7436596556096577;2.3136274159698362;2.8827785051783197;2.452746265538498;2.7121586803379936;2.2821264406981725
00001159_noNi_00013;2.002257216928699;1.8530354650112861;1.9846242008162809;1.8354024488988674;2.2552690351931584;2.106047283275745
00001159_noNi_00014;1.8460073587938155;1.9597120749273118;2.079440881757848;2.1931455978913443;2.335590247435725;2.4492949635692214
00001159_noNi_00015;2.018760715955166;2.00363773771641;2.035891724521388;2.020768746282632;2.1826661895619175;2.167543211323162
00001159_noNi_00016;2.7806199634634226;2.857678126441692;2.9457177050102263;3.022775867988496;3.2353760764299127;3.312434239408182
00001159_noNi_00018;1.6494713928294478;1.5016301616997454;1.7392052470269104;1.5913640158972078;2.0717852661433014;1.9239440350135988
00001159_noNi_00021;2.002257216928699;1.8467603703271291;1.9848124536639395;1.8293156070623693;2.2555827898916965;2.100085943290126
00001159_noNi_00024;2.983431024111947;2.9398818670181663;3.137359097220827;3.0938099401270462;3.673440437379598;3.629891280285817
00001159_noNi_00025;4.288525219847325;4.919046735395025;4.5362032076659204;5.16672472321362;5.167289481756597;5.797810997304296
00001159_noNi_00029;1.802897458249452;1.3234174722416516;1.7475511230353125;1.2680711370275124;1.820091217812453;1.3406112318046528
00001159_noNi_00032;3.497110276255412;4.006647966035744;3.6066106788863177;4.11614836866665;4.022147449969817;4.53168513975015
00001159_noNi_00036;2.637045796690411;3.9978628334779245;2.845943699318113;4.206760736105626;3.896080797315666;5.256897834103179
00001159_noNi_00042;6.696718312914291;6.094999482202291;6.730603824351417;6.128884993639418;6.661389529835353;6.059670699123354
