;e_dz;g;e_tz_gas;g_tz_gas;e_tz_solv;g_tz_solv
00000722_Ni_00000;1.2838843756601235;1.027233002293371;1.5505759003788484;1.2939245270120956;0.9854408716826178;0.728789498315865
00000722_Ni_00005;4.047373330557324;5.106672066808014;4.803396740073521;5.862695476324211;4.723514784523051;5.782813520773741
00000722_Ni_00021;7.883652475454501;8.863571263700917;8.98668862178931;9.966607410035726;8.682534781670624;9.662453569917039
00000722_Ni_00023;1.6789015869195456;1.6384272260997241;1.729353348379918;1.6888789875600965;2.064819911065289;2.0243455502454677
00000722_Ni_00025;1.1038519087222225;1.5769312980523074;1.1024086369377326;1.5754880262678173;1.2504381209150937;1.7235175102451785
00000722_Ni_00029;5.796744231072444;5.866586034985584;6.529989046735338;6.599830850648478;6.677453772169724;6.7472955760828635
00000722_Ni_00032;6.525596480385088;6.894446546818711;7.40147419872538;7.770324265159002;6.768693649148455;7.137543715582076
00000722_Ni_00033;5.021832786506998;5.9983630236382375;5.859306925209034;6.835837162340273;5.578935694036043;6.555465931167283
00000722_Ni_00034;9.029861273330454;9.70443395351813;9.796489592884276;10.471062273071954;9.318892135210383;9.993464815398061
00000722_Ni_00039;1.8288763503702727;2.071408760447984;2.0424178230499828;2.284950233127694;1.9977391487275706;2.240271558805282
00000722_Ni_00040;1.438314456172521;1.3541654362653601;1.0928704929892783;1.0087214730821172;0.812562012813067;0.728412992905906
00000722_Ni_00046;3.6449515073851146;4.620979737112837;3.8032093958474644;4.7792376255751865;2.882904007171878;3.8589322368996
00000722_Ni_00049;3.698666318109784;4.3003223978250045;3.869788150638986;4.471444230354206;2.8591213982261823;3.460777477941402
00000722_noNi_00000;1.8288135993734933;2.074546307861402;2.0429825815929585;2.288715290080867;1.9988686658135226;2.244601374301431
00000722_noNi_00001;1.8903722784176895;1.853035464868607;2.115836431068637;2.078499617519555;2.0459318760160388;2.0085950624669566
00000722_noNi_00002;1.8288763503702727;2.0739187983216465;2.0437355928409144;2.2887780407922884;1.999558926207378;2.244601374158752
00000722_noNi_00003;5.021895537503777;5.99648049530433;5.856420381640054;6.8310053394406065;5.575860897619404;6.550445855419958
00000722_noNi_00004;1.8903722784176895;1.8517804459317755;2.1137028987476127;2.075111066261699;2.043986596685352;2.0053947641994383
00000722_noNi_00005;3.9194869005660444;4.227531299346105;4.112508813564356;4.420553212344416;4.494662080756926;4.802706479536987
00000722_noNi_00006;4.55954655991952;5.380266195750651;5.209834623757984;6.030554259589115;4.687432990053479;5.50815262588461
00000722_noNi_00007;3.7813720662324553;3.894951280229714;3.9790375492827748;4.092616763280033;3.663086531186409;3.7766657451836676
00000722_noNi_00008;0.42714569621352033;0.9280865061410125;0.38761259963199224;0.8885534095594844;0.9004760895307221;1.4014168994582143
00000722_noNi_00009;4.117215134613144;4.796682388697267;4.641436545940135;5.320903800024259;4.0679556412355025;4.747422895319627
00000722_noNi_00010;1.103726406728664;1.5806963548628015;1.101655625547098;1.5786255736812354;1.249685109524459;1.7266550576585964
00000722_noNi_00011;1.8904350292717895;1.853035464868607;2.115208921528882;2.0778093571256995;2.045178864625404;2.0077793002222215
00000722_noNi_00012;1.8903722784176895;1.852407955471531;2.115836431068637;2.0778721081224787;2.0459318760160388;2.0079675530698804
00000722_noNi_00013;1.8903722784176895;1.852407955471531;2.1158991819227375;2.0779348589765787;2.0460573778669184;2.0080930549207596
00000722_noNi_00014;4.51455413089857;4.43900199070157;4.906935802576129;4.831383662379128;4.898401673862747;4.822849533665747
00000722_noNi_00015;0.0;0.0;0.0;0.0;0.0;0.0
00000722_noNi_00019;4.07711727948864;5.011918136863226;4.257400750270978;5.192201607645565;3.8706666638805003;4.805467521255087
00000722_noNi_00020;7.081695372679062;7.135410183403732;7.079185334948078;7.132900145672748;7.173186253502231;7.226901064226901
00000722_noNi_00034;7.700231457258744;7.184355921940155;8.026097125141561;7.510221589822971;8.1136346961639;7.5977591608453094
00000722_noNi_00036;5.957574908119878;6.299567569333844;6.4657948279666;6.807787489180566;6.124617929140048;6.466610590354014
00000722_noNi_00039;8.140178346685017;7.6631456475541;8.433288020216658;7.956255321085742;8.176448394144927;7.69941569501401
