;e_dz;g;e_tz_gas;g_tz_gas;e_tz_solv;g_tz_solv
00000150_Ni_00000;2.699608490827001;1.1859928983019175;2.377194125198819;1.0668288500143572;1.9828671741905735;0.9778480072075294
00000150_Ni_00021;4.414027113815822;3.064128742049831;4.2770417965681835;3.130393742142815;3.109560427620199;2.2682584813962476
00000150_Ni_00552;4.625874311009283;2.509410370543569;4.311743070250045;2.398529447124953;2.81450547475787;1.2066379598341956
00000150_Ni_00935;3.0475624920265854;2.2113433722613807;3.0865308302078165;2.4535620277832333;2.75489207518704;2.427269380963874
00000150_Ni_01038;1.6285125765986317;1.7771068189762897;1.5701541958219536;1.921998755540233;1.6286380784495111;2.285828746369208
00000150_Ni_01076;3.0562221227335256;2.7823769899464508;2.515559963376847;2.444965147930393;1.9366824772295712;2.171433769984535
00000150_Ni_01133;0.80057658184505;1.4953550670155884;0.4545678601188312;1.3525966626299906;0.2093999101738986;1.4127748208864759
00000150_noNi_00000;2.636732041991873;2.0299931353898693;2.2184342293329515;1.8149456400715689;1.5199534382060194;1.4218109571460544
00000150_noNi_00001;4.135852165817956;4.218746166788285;4.071344192350679;4.35748851066163;2.91754252985696;3.5090329563693285
00000150_noNi_00004;2.2991319471281564;1.602031676931614;1.9058090113549835;1.411959058499062;1.4812361038692259;1.2927322592147226
00000150_noNi_00005;1.6928950482150287;1.7896570083446035;1.8433718190692732;2.1433840965394695;1.7018056826237276;2.3071640682953416
00000150_noNi_00007;3.375498941090968;3.2059458821971356;3.283882558416919;3.3175798168637076;2.727407160427629;3.0664505270758355
00000150_noNi_00011;2.61389069728447;2.3412378325801266;2.2524452426209574;2.183042695257235;1.8209069800571878;2.0568505408948834
00000150_noNi_00012;2.8970229701755614;2.1479649157373775;2.5489434672677764;2.0031357301702135;1.642380535757877;1.401918906861732
00000150_noNi_00038;2.6832304937940927;2.4259516110302637;2.2727765494546976;2.2187479840314897;1.9382512508649408;2.1895687936431507
00000150_noNi_00039;4.349770144192983;3.9426419999719853;4.419298193550264;4.215420366669887;3.4689351011021454;3.570403382423187
00000150_noNi_00050;3.424130924928854;2.700800758909732;3.4184833397844523;2.8984034911059515;2.4674927379392577;2.2527589974621747
00000150_noNi_00054;4.023778974459287;3.408631440994781;3.9551921894829785;3.5432949733590933;2.9438351765336397;2.8372840686111727
00000150_noNi_00060;1.3154481019285669;0.8584329549328521;1.4393184714075937;1.1855536417525;1.1767685090520013;1.2283497875983256
00000150_noNi_00075;2.2454171365461657;0.9820523205674411;2.3033990116275267;1.2432845129894228;1.6953423350919121;0.9405739446552261
00000150_noNi_00079;3.473139414604736;2.9838075298072644;3.1590081739881777;2.8729266065313275;2.4659867151579884;2.485251255902556
00000150_noNi_00089;4.937432762755399;3.829690295371803;5.103973776229372;4.1994816261863965;3.7472355510935698;3.1480895092520127
00000150_noNi_00109;1.2613567856512589;1.9170414307896866;1.467744650405298;2.3266796128843468;1.470631193831599;2.6349122645120655
00000150_noNi_00115;1.4801693377800533;1.6597625481685367;1.7838839213493225;2.166727449078427;1.7372599676962235;2.425449603626746
00000150_noNi_00128;2.1989814357407256;2.1002741959951057;2.3524075011607297;2.456950578755731;2.039029271792127;2.4489184575885456
00000150_noNi_00204;1.4209324439045403;0.9544419038144715;1.6146446172967073;1.3514043945472594;1.1623357912071008;1.2044416766590709
00000150_noNi_00416;2.229164641221458;1.448919366210148;2.5916141111200433;2.0146191534493547;2.1550557728089483;1.8834069233396773
00000150_noNi_00465;1.644137562383584;2.183732955508411;1.9243205407089161;2.6671662511743643;2.1085573210067285;3.156749139673595
00000150_noNi_00474;5.398024713856628;4.320402700956985;5.392502630563106;4.518130935004084;3.555217653187652;2.986192065830048
00000150_noNi_00484;2.2991319471281564;1.6120718284262652;1.905683509504104;1.4218737081428336;1.4812361038692259;1.3027724107093737
00000150_noNi_00587;2.4090088553117006;1.5719112223049818;2.2014287227602884;1.5675814070941907;2.2745335759377254;1.946032368473046
00000150_noNi_00598;2.4159742103897126;1.6880004743185824;2.5345735002769763;2.009850081546467;1.9179199440312007;1.6985426335021094
00000150_noNi_00600;2.7885893337765078;1.9258265633475062;2.888614343313059;2.229101890224679;2.4357407586804767;2.0815744137935144
00000150_noNi_00680;0.5018820741657855;0.9218114114568556;0.2606046828822265;0.8837843375139177;0.0;0.9285257628331091
00000150_noNi_00820;2.4513657446081085;2.250876468842909;2.8643924778179457;2.867153519393367;2.770705313819651;3.0788124635964906
00000150_noNi_00893;0.9334830875836554;0.7103407199587116;0.8136915297563398;0.7937994794720172;0.7400219178932473;1.0254759758103427
00000150_noNi_01045;2.5541517957200814;2.1517299725478716;2.07486006255994;1.875688556728351;1.2361309049210727;1.3423055072909016
00000150_noNi_01066;2.105796279431307;1.9659871694687896;2.2385145323222537;2.3019557397003574;1.9262658200396028;2.295053135619124
00000150_noNi_01097;2.461845152652177;1.6785878322210075;2.6779594142023293;2.097952411111781;2.1009644565316403;1.8263035616425098
00000150_noNi_01111;3.0653837609866628;2.711468419801459;2.6606401527884485;2.509975128943866;2.234937728359418;2.389618812716254
00000150_noNi_01158;1.9454048589332908;2.365083192379923;2.103160739706765;2.726089390494018;1.817518428942011;2.745793187930682
00000150_noNi_01178;3.15160356207539;2.254014016256327;2.666287738075529;1.9719485095970877;1.9310348919424905;1.5420417716654666
00000150_noNi_01243;0.8910006964363679;1.346635322644372;0.7069521689862139;1.365837112534839;0.7995098157558773;1.7637408675059203
00000150_noNi_01316;1.0010031066134704;0.0;0.7977527892728492;0.0;0.4924066810714313;0.0
00000150_noNi_01438;2.258218329758918;1.6039142052655215;1.7742202755499887;1.3231664683972137;1.5869086986928582;1.4412009997415012
00000150_noNi_01538;1.0943765156278684;0.8226649151618182;0.8920674626682198;0.8236061795427906;1.0601144986381037;1.2969993237140924
00000150_noNi_01593;1.3168286228589567;1.5248480121024655;1.1422554883604779;1.5535251949446076;0.9930964871544855;1.7097123019400333
00000150_noNi_01604;0.30453034581400396;0.5685235798114072;0.23788884016838222;0.7051323915064066;0.315700014394607;1.0882896739340493
00000150_noNi_01624;1.7575285235331843;1.7934220652977768;1.6313363691708325;1.870480228276046;1.75087692315371;2.2953668904603415
