;e_dz;g;e_tz_gas;g_tz_gas;e_tz_solv;g_tz_solv
00001678_Ni_00022;1.74937090051512;2.281624432937957;1.9159746647718534;2.471195043824312;1.893509825759768;2.498742709509163
00001678_Ni_00030;3.295679736465938;4.458454784365135;3.620164883347025;4.805906777875844;3.745039267918445;4.980793667144201
00001678_Ni_00033;2.0324404224094317;2.9693748120337036;2.1545537652627513;3.114455001516645;2.1634643997427903;3.17337814069362
00001678_Ni_00038;2.625625124408049;2.1994206923614827;2.553900791946983;2.150663206530038;2.494852150847789;2.1416270701277806
00001678_Ni_00041;2.339606307947978;3.673440437379598;2.5531477805563485;3.9099487566175903;2.574106596929844;3.9809200776880216
00001678_Ni_00045;3.7919142253446423;3.8773810151140746;3.68912817408999;3.7975618104890443;3.5645675443597873;3.723013685455777
00001678_Ni_00060;6.203056612906028;6.00087306165458;6.0835160587804715;5.904299354158645;6.1450119868992275;6.015807786974337
00001678_Ni_00061;3.212409229800291;3.0760514219497295;3.1364805839079737;3.023089622687034;3.082514769481545;3.0191363129575417
00001678_noNi_00000;0.2157377558548348;0.18135023687151164;0.08264299719723123;0.07122232484352983;0.1437624196206703;0.1823542519639051
00001678_noNi_00001;0.3415534045218693;0.0;0.31858655789224755;0.0;0.26857405319531136;0.0
00001678_noNi_00002;0.0;0.003765056810494145;0.0;0.02673190344011591;0.0;0.07674440813705208
00001678_noNi_00003;1.525726525415319;1.2782367903730427;1.626504546199826;1.4019816577871715;1.5852144231352698;1.4107040394195516
00001678_noNi_00004;1.74937090051512;2.2809969234695413;1.9179199441025403;2.4725128136865835;1.8956433579381133;2.5002487322190925
00001678_noNi_00005;1.3930082724530328;1.270079167283639;1.4167281304019497;1.3167658718621775;1.353851681566822;1.303901927723986
00001678_noNi_00006;1.739581752793567;1.2318010896389422;1.6518559288522312;1.1670421123272279;1.4791025717622202;1.044301259934153
00001678_noNi_00007;2.025600569182299;1.9559470179741385;2.0009394469950887;1.9542527424165501;2.020705995285853;2.0240317954042504
00001678_noNi_00008;2.5873470467633526;2.2515039783826643;2.6325904794860615;2.319714257734995;2.631084456776132;2.3682207397220014
00001678_noNi_00009;2.3155099443037437;2.195028126082573;2.425261350565069;2.3277463789735195;2.2431581024456015;2.1956556355509886
00001678_noNi_00010;2.195843888398647;2.0983916677325376;2.1040392528769396;2.029553878840452;1.962096610807416;1.9376237414678645
00001678_noNi_00011;1.8335826713477206;2.1818504271745036;1.8694134620441942;2.2406480645005993;1.7674431732482956;2.188690280401637
00001678_noNi_00012;2.339167051327221;2.2063232965140553;2.364204679138409;2.254327770954865;2.3249853373267584;2.2651209338401506
00001678_noNi_00014;2.625625124408049;2.1994206923614827;2.553900791946983;2.150663206530038;2.494914901773229;2.1416898210532205
00001678_noNi_00015;4.434672175490778;4.541286034410025;4.388173723688559;4.517754429237427;4.64520160260795;4.824794812853755
00001678_noNi_00016;3.936304154362389;4.017943136395887;3.8239172083051822;3.9285230369683024;3.949921109891215;4.104539443251271
00001678_noNi_00017;4.618783453937712;5.52271084550905;4.7361904757422435;5.663084713943205;4.850459950276037;5.827366693173934
00001678_noNi_00018;2.6522942768513857;2.5345107493515364;2.691074362113619;2.596257681243391;2.5737928421599663;2.5289886659866747
00001678_noNi_00019;2.339167051327221;2.2100883533245494;2.366087207543656;2.259975356170606;2.327056118579664;2.2709567719035504
00001678_noNi_00020;3.0121709579508686;2.9386268480099953;3.0476879938774646;2.997110730566213;2.902733306316742;2.9021685477024266
00001678_noNi_00027;3.487007373906661;3.3829035527897373;3.4340455745726257;3.3529086000853243;3.3833428094104945;3.352218339620129
00001678_noNi_00030;3.7174916022335944;5.254136792313739;3.8802675586830544;5.439879595392821;4.169110167715327;5.77873470912203
00001678_noNi_00034;1.74937090051512;2.2809969234695413;1.9182336988010782;2.472826568385121;1.8958943617112118;2.500499735992191
00001678_noNi_00043;7.054837967459406;6.937117190884996;6.768442645304017;6.673688715359229;7.015179368955659;6.970437943707807
00001678_noNi_00047;7.041032759082921;6.679210798724091;6.9016629058125;6.562807792083292;7.14287754609928;6.8540349370670075
00001678_noNi_00048;4.364265612963323;4.770954500420885;4.3136255986552925;4.743281332742475;4.254137700935341;4.733805939719461
00001678_noNi_00055;7.881769947049254;8.3458759510452;7.922746315343933;8.4098191659695;8.107422352405182;8.644507707727685
00001678_noNi_00056;7.839350306827407;8.081694464128798;7.7962404062117034;8.061551410142718;8.040592593840561;8.355916102468512
00001678_noNi_00058;4.577116825177838;5.069021498703073;4.844686863138077;5.359558383292933;4.70475225132468;5.269636276176473
