;e_dz;g;e_tz_gas;g_tz_gas;e_tz_solv;g_tz_solv
00001740_noNi_00000;0.0;0.0;0.0;0.0;0.0;0.0
00001740_noNi_00001;3.378636488361707;5.202681015689634;4.147272838100317;5.971317365428244;4.051138387367819;5.8751829146957455
00001740_noNi_00002;3.378636488361707;5.203936034626465;4.148904362732466;5.974203908997224;4.053648425241481;5.878947971506239
00001740_noNi_00008;3.378636488361707;5.2020535062925575;4.147210087246218;5.970627105177067;4.05245615715875;5.875873175089601
00001740_noNi_00009;3.378636488361707;5.2014259967528025;4.146645328703241;5.969434837094337;4.050761881672501;5.8735513900635965
00001740_noNi_00010;3.378636488361707;5.2020535062925575;4.147774845789193;5.971191863720044;4.052016900609333;5.875433918540184
